chinese,science,
0,76,
100,100,
54,81,
100,100,
65,76,
69,90,
71,80,
60,80,
0,0,
72,75,
80,80,
70,70,
60,75,
70,82,
85,85,
60,70,
60,70,
74,83,
80,60,
100,100,
100,100,
75,98,
59,75,
0,0,
85,70,
100,100,
66,75,
66,87,
65,76,
100,100,
0,100,
0,0,
35,28,
87,95,
70,87,
88,98,
80,75,
100,100,
78,62,
78,89,
0,0,
65,85,
65,75,
50,70,
51,86,
79,85,
0,0,
67,65,
89,92,
100,100,
59,61,
75,80,
65,70,
88,70,
